Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	1.66886015	1.66886015	1.66886015	1.66886015	0	0	0	0	0	0	3
2	2	0	0.05	1.60070688	1.63478351	1.60070688	1.66886015	0.0340766346	0	0	0	0	0	3
3	2	0	0.075	1.52708798	1.598885	1.52708798	1.66886015	0.0699751438	0	0	0	0	0	3
4	3	0	0.1	1.45776174	1.56360419	1.45776174	1.66886015	0.105255958	0	0	0	0	0	3
5	3	0	0.125	1.41540204	1.53396376	1.41540204	1.66886015	0.134896387	0	0	0	0	0	3
6	3	0	0.15	1.41534523	1.514194	1.41534523	1.66886015	0.154666141	0	0	0	0	0	3
7	3	0	0.175	1.41541102	1.50008215	1.41534523	1.66886015	0.168777996	0	0	0	0	0	3
8	4	0	0.2	1.4154597	1.48950434	1.41534523	1.66886015	0.179355801	0	0	0	0	0	3
9	4	0	0.225	1.41550228	1.48128189	1.41534523	1.66886015	0.187578253	0	0	0	0	0	3
10	4	0	0.25	1.41556367	1.47471007	1.41534523	1.66886015	0.194150075	0	0	0	0	0	3
11	4	0	0.275	1.41564818	1.46934081	1.41534523	1.66886015	0.199519338	0	0	0	0	0	3
12	5	0	0.3	1.41568673	1.46486963	1.41534523	1.66886015	0.203990511	0	0	0	0	0	3
13	5	0	0.325	1.41570914	1.46108806	1.41534523	1.66886015	0.207772088	0	0	0	0	0	3
14	5	0	0.35	1.4157043	1.45784636	1.41534523	1.66886015	0.211013785	0	0	0	0	0	3
15	5	0	0.375	1.41554648	1.45502637	1.41534523	1.66886015	0.213833777	0	0	0	0	0	3
16	6	0	0.4	1.41535693	1.45254703	1.41534523	1.66886015	0.216313117	0	0	0	0	0	3
17	6	0	0.425	1.41519307	1.45034974	1.41519307	1.66886015	0.218510409	0	0	0	0	0	3
18	6	0	0.45	1.41516739	1.44839516	1.41516739	1.66886015	0.220464984	0	0	0	0	0	3
19	6	0	0.475	1.41516078	1.44664598	1.41516078	1.66886015	0.222214162	0	0	0	0	0	3
20	7	0	0.5	1.41510089	1.44506873	1.41510089	1.66886015	0.223791417	0	0	0	0	0	3
21	7	0	0.525	1.41506903	1.43237917	1.41506903	1.60070688	0.185637843	0	0	0	0	0	3
22	7	0	0.55	1.41503745	1.4230957	1.41503745	1.52708798	0.11205053	0	0	0	0	0	3
23	7	0	0.575	1.41499579	1.41749109	1.41499579	1.45776174	0.0427659584	0	0	0	0	0	3
24	8	0	0.6	1.41499388	1.4153527	1.41499388	1.41570914	0.000715253272	0	0	0	0	0	3
25	8	0	0.625	1.41497581	1.41533139	1.41497581	1.41570914	0.000733324716	0	0	0	0	0	3
26	8	0	0.65	1.41496259	1.41531226	1.41496259	1.41570914	0.000746546372	0	0	0	0	0	3
27	8	0	0.675	1.41494694	1.41528905	1.41494694	1.41570914	0.000762201084	0	0	0	0	0	3
28	9	0	0.7	1.4149002	1.41526108	1.4149002	1.41570914	0.000808932462	0	0	0	0	0	3
29	9	0	0.725	1.41472381	1.41522215	1.41472381	1.41570914	0.000985323218	0	0	0	0	0	3
30	9	0	0.75	1.41491821	1.41518988	1.41472381	1.41570914	0.000985323218	0	0	0	0	0	3
31	10	0	0.775	1.41467379	1.41514116	1.41467379	1.41570914	0.00103534942	0	0	0	0	0	3
32	10	0	0.8	1.41490088	1.41510187	1.41467379	1.41570914	0.00103534942	0	0	0	0	0	3
33	10	0	0.825	1.41465414	1.41504912	1.41465414	1.4157043	0.00105015866	0	0	0	0	0	3
34	10	0	0.85	1.41488052	1.41500793	1.41465414	1.41554648	0.000892336579	0	0	0	0	0	3
35	11	0	0.875	1.4146406	1.41496264	1.4146406	1.41535693	0.000716329271	0	0	0	0	0	3
36	11	0	0.9	1.41486517	1.41493805	1.4146406	1.41519307	0.000552466915	0	0	0	0	0	3
37	11	0	0.925	1.41462893	1.41490984	1.41462893	1.41516739	0.000538458739	0	0	0	0	0	3
38	11	0	0.95	1.41485567	1.41489425	1.41462893	1.41516078	0.000531853921	0	0	0	0	0	3
39	12	0	0.975	1.41462013	1.41486722	1.41462013	1.41510089	0.000480761701	0	0	0	0	0	3
40	12	0	1	1.41484789	1.41485457	1.41462013	1.41506903	0.000448903051	0.00704633595	0	100	0	0	3
