Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	16031.5274	16031.5274	16031.5274	16031.5274	0	0	0	0	0	0	3
2	2	0	0.05	16008.7038	16020.1156	16008.7038	16031.5274	11.4117669	0	0	0	0	0	3
3	3	0	0.075	16007.9306	16016.0539	16007.9306	16031.5274	15.4734379	0	0	0	0	0	3
4	3	0	0.1	16007.9236	16014.0214	16007.9236	16031.5274	17.5060268	0	0	0	0	0	3
5	3	0	0.125	16007.828	16012.7827	16007.828	16031.5274	18.744689	0	0	0	0	0	3
6	3	0	0.15	16007.6489	16011.9271	16007.6489	16031.5274	19.6003252	0	0	0	0	0	3
7	4	0	0.175	16007.6474	16011.3157	16007.6474	16031.5274	20.2117077	0	0	0	0	0	3
8	4	0	0.2	16007.5797	16010.8487	16007.5797	16031.5274	20.6787081	0	0	0	0	0	3
9	4	0	0.225	16007.5969	16010.4874	16007.5797	16031.5274	21.0400142	0	0	0	0	0	3
10	4	0	0.25	16007.5547	16010.1941	16007.5547	16031.5274	21.3332847	0	0	0	0	0	3
11	5	0	0.275	16007.5661	16009.9552	16007.5547	16031.5274	21.5721948	0	0	0	0	0	3
12	5	0	0.3	16007.5134	16009.7517	16007.5134	16031.5274	21.7756782	0	0	0	0	0	3
13	5	0	0.325	16007.5472	16009.5821	16007.5134	16031.5274	21.9452547	0	0	0	0	0	3
14	6	0	0.35	16007.358	16009.4233	16007.358	16031.5274	22.1041175	0	0	0	0	0	3
15	6	0	0.375	16007.3315	16009.2838	16007.3315	16031.5274	22.2435711	0	0	0	0	0	3
16	7	0	0.4	16007.2544	16009.157	16007.2544	16031.5274	22.3704082	0	0	0	0	0	3
17	7	0	0.425	16007.2265	16009.0434	16007.2265	16031.5274	22.4839656	0	0	0	0	0	3
18	7	0	0.45	16007.3177	16008.9475	16007.2265	16031.5274	22.5798412	0	0	0	0	0	3
19	7	0	0.475	16007.2821	16008.8599	16007.2265	16031.5274	22.667497	0	0	0	0	0	3
20	8	0	0.5	16007.2591	16008.7798	16007.2265	16031.5274	22.7475378	0	0	0	0	0	3
21	8	0	0.525	16007.2687	16007.5669	16007.2265	16008.7038	1.47734913	0	0	0	0	0	3
22	8	0	0.55	16007.203	16007.4919	16007.203	16007.9306	0.727579396	0	0	0	0	0	3
23	9	0	0.575	16007.1812	16007.4544	16007.1812	16007.9236	0.742407427	0	0	0	0	0	3
24	9	0	0.6	16007.2437	16007.4204	16007.1812	16007.828	0.646862747	0	0	0	0	0	3
25	9	0	0.625	16007.2406	16007.391	16007.1812	16007.6489	0.467694333	0	0	0	0	0	3
26	10	0	0.65	16007.2175	16007.3695	16007.1812	16007.6474	0.466198258	0	0	0	0	0	3
27	10	0	0.675	16007.2418	16007.3492	16007.1812	16007.5969	0.415737646	0	0	0	0	0	3
28	10	0	0.7	16007.2133	16007.3309	16007.1812	16007.5969	0.415737646	0	0	0	0	0	3
29	10	0	0.725	16007.2098	16007.3115	16007.1812	16007.5661	0.384905453	0	0	0	0	0	3
30	11	0	0.75	16007.1642	16007.292	16007.1642	16007.5661	0.401857007	0	0	0	0	0	3
31	11	0	0.775	16007.0948	16007.2684	16007.0948	16007.5472	0.452387104	0	0	0	0	0	3
32	11	0	0.8	16007.0496	16007.2452	16007.0496	16007.5472	0.497582563	0	0	0	0	0	3
33	12	0	0.825	16007.1157	16007.2237	16007.0496	16007.358	0.308421688	0	0	0	0	0	3
34	12	0	0.85	16007.0549	16007.2085	16007.0496	16007.3315	0.281833415	0	0	0	0	0	3
35	12	0	0.875	16007.0935	16007.1966	16007.0496	16007.3177	0.268029188	0	0	0	0	0	3
36	12	0	0.9	16007.1342	16007.1906	16007.0496	16007.3177	0.268029188	0	0	0	0	0	3
37	13	0	0.925	16007.0816	16007.1833	16007.0496	16007.3177	0.268029188	0	0	0	0	0	3
38	13	0	0.95	16007.1522	16007.1751	16007.0496	16007.2821	0.232454182	0	0	0	0	0	3
39	13	0	0.975	16007.1218	16007.1671	16007.0496	16007.2687	0.219042377	0	0	0	0	0	3
40	14	0	1	16007.0301	16007.1556	16007.0301	16007.2687	0.238548973	0.0564169909	0	0	0	0	3
41	14	0	1.025	16007.2619	16007.1553	16007.0301	16007.2619	0.231815553	0.0564169909	0	0	0	0	3
42	14	0	1.05	16006.9645	16007.1433	16006.9645	16007.2619	0.297473649	0.0584737964	0	0	0	0	3
43	14	0	1.075	16006.978	16007.1332	16006.9645	16007.2619	0.287216396	0.059012937	0	0	0	0	3
44	14	0	1.1	16007.0156	16007.1276	16006.9645	16007.2619	0.292816841	0.0577859909	0	0	0	0	3
45	15	0	1.125	16006.9052	16007.1115	16006.9052	16007.2619	0.279565902	0.0564169909	0	0	0	0	3
46	15	0	1.15	16006.9913	16007.0996	16006.9052	16007.2619	0.269872361	0.0564169909	0	0	0	0	3
47	15	0	1.175	16007.0477	16007.0915	16006.9052	16007.2619	0.257677726	0.0564169909	0	0	0	0	3
48	15	0	1.2	16006.8577	16007.0732	16006.8577	16007.2619	0.25764516	0.0564169909	0	0	0	0	3
49	16	0	1.225	16006.9287	16007.0597	16006.8577	16007.2619	0.251837216	0.0564169909	0	0	0	0	3
50	16	0	1.25	16007.0481	16007.052	16006.8577	16007.2619	0.240014926	0.0564169909	0	0	0	0	3
51	16	0	1.275	16006.9575	16007.0421	16006.8577	16007.2619	0.226295876	0.0564169909	0	0	0	0	3
52	16	0	1.3	16006.9926	16007.0373	16006.8577	16007.2619	0.207976916	0.0564169909	0	0	0	0	3
53	16	0	1.325	16006.9304	16007.0316	16006.8577	16007.2619	0.192077175	0.0564169909	0	0	0	0	3
54	17	0	1.35	16007.0913	16007.0304	16006.8577	16007.2619	0.178081265	0.0564169909	0	0	0	0	3
55	17	0	1.375	16006.9577	16007.0258	16006.8577	16007.2619	0.170808997	0.0564169909	0	0	0	0	3
56	17	0	1.4	16006.9763	16007.0202	16006.8577	16007.2619	0.170373536	0.0564169909	0	0	0	0	3
