Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.025	0.27283938	0.27283938	0.27283938	0.27283938	0	0	0	0	0	0	3
2	4	0	0.05	0.264942212	0.268890796	0.264942212	0.27283938	0.00394858441	0	0	0	0	0	3
3	4	0	0.075	0.260238449	0.26600668	0.260238449	0.27283938	0.00683270006	0	0	0	0	0	3
4	5	0	0.1	0.257448031	0.263867018	0.257448031	0.27283938	0.00897236233	0	0	0	0	0	3
5	5	0	0.125	0.255552314	0.262204077	0.255552314	0.27283938	0.0106353031	0	0	0	0	0	3
6	5	0	0.15	0.2541953	0.260869281	0.2541953	0.27283938	0.0119700993	0	0	0	0	0	3
7	6	0	0.175	0.253199302	0.25977357	0.253199302	0.27283938	0.0130658106	0	0	0	0	0	3
8	6	0	0.2	0.252588356	0.258875418	0.252588356	0.27283938	0.0139639623	0	0	0	0	0	3
9	6	0	0.225	0.252080643	0.258120443	0.252080643	0.27283938	0.0147189373	0	0	0	0	0	3
10	6	0	0.25	0.251629528	0.257471351	0.251629528	0.27283938	0.0153680289	0	0	0	0	0	3
11	7	0	0.275	0.251186261	0.25689998	0.251186261	0.27283938	0.0159394007	0	0	0	0	0	3
12	7	0	0.3	0.250759021	0.256388233	0.250759021	0.27283938	0.0164511473	0	0	0	0	0	3
13	8	0	0.325	0.250346412	0.255923478	0.250346412	0.27283938	0.0169159027	0	0	0	0	0	3
14	8	0	0.35	0.250174384	0.255512828	0.250174384	0.27283938	0.0173265522	0	0	0	0	0	3
15	8	0	0.375	0.250207756	0.255159157	0.250174384	0.27283938	0.0176802237	0	0	0	0	0	3
16	9	0	0.4	0.250201375	0.254849295	0.250174384	0.27283938	0.0179900851	0	0	0	0	0	3
17	9	0	0.425	0.250236315	0.254577943	0.250174384	0.27283938	0.0182614368	0	0	0	0	0	3
18	9	0	0.45	0.250502272	0.254351517	0.250174384	0.27283938	0.018487863	0	0	0	0	0	3
19	10	0	0.475	0.250404284	0.254143768	0.250174384	0.27283938	0.0186956121	0	0	0	0	0	3
20	10	0	0.5	0.250368677	0.253955014	0.250174384	0.27283938	0.0188843667	0	0	0	0	0	3
21	10	0	0.525	0.250459916	0.25283604	0.250174384	0.264942212	0.014767827	0	0	0	0	0	3
22	11	0	0.55	0.250548517	0.252116356	0.250174384	0.260238449	0.0100640645	0	0	0	0	0	3
23	11	0	0.575	0.250511974	0.251630032	0.250174384	0.257448031	0.00727364671	0	0	0	0	0	3
24	11	0	0.6	0.250589552	0.251287108	0.250174384	0.255552314	0.00537792967	0	0	0	0	0	3
25	12	0	0.625	0.25069749	0.251044367	0.250174384	0.2541953	0.00402091571	0	0	0	0	0	3
26	12	0	0.65	0.250895188	0.250879361	0.250174384	0.253199302	0.0030249173	0	0	0	0	0	3
27	12	0	0.675	0.251122483	0.25077552	0.250174384	0.252588356	0.00241397184	0	0	0	0	0	3
28	13	0	0.7	0.251341018	0.250713153	0.250174384	0.252080643	0.00190625804	0	0	0	0	0	3
29	13	0	0.725	0.251535915	0.250685917	0.250174384	0.251629528	0.00145514324	0	0	0	0	0	3
30	13	0	0.75	0.251708441	0.250689863	0.250174384	0.251708441	0.00153405655	0	0	0	0	0	3
31	13	0	0.775	0.251874748	0.250724287	0.250174384	0.251874748	0.00170036374	0	0	0	0	0	3
32	13	0	0.8	0.252106424	0.250791657	0.250174384	0.252106424	0.0019320395	0	0	0	0	0	3
33	14	0	0.825	0.252472924	0.250897983	0.250174384	0.252472924	0.00229853969	0	0	0	0	0	3
34	14	0	0.85	0.252826625	0.251030595	0.250201375	0.252826625	0.00262524989	0	0	0	0	0	3
35	15	0	0.875	0.253177921	0.251179103	0.250201375	0.253177921	0.00297654594	0	0	0	0	0	3
36	15	0	0.9	0.253507847	0.251344427	0.250236315	0.253507847	0.0032715321	0	0	0	0	0	3
37	15	0	0.925	0.25384113	0.251524667	0.250368677	0.25384113	0.00347245205	0	0	0	0	0	3
38	16	0	0.95	0.254153284	0.251707218	0.250368677	0.254153284	0.00345785123	0	0	0	0	0	3
39	16	0	0.975	0.254472114	0.251910609	0.250368677	0.254472114	0.00326909669	0	0	0	0	0	3
40	16	0	1	0.254777136	0.252131032	0.250459916	0.254777136	0.00215012349	0.000630533768	0	29.3	0	0	3
41	16	0	1.025	0.255068474	0.25236146	0.250511974	0.255068474	0.00167554333	0.000630533768	0	37.6	0	0	3
42	17	0	1.05	0.255361443	0.252602107	0.250511974	0.255361443	0.00191618961	0.000630533768	0	32.9	0	0	3
43	17	0	1.075	0.25564316	0.252858666	0.250589552	0.25564316	0.0021727489	0.000630533768	0	29	0	0	3
44	17	0	1.1	0.255916605	0.253004282	0.250589552	0.255916605	0.00231836506	0.000630533768	0	27.1	0	0	3
45	17	0	1.125	0.256184011	0.253270685	0.25069749	0.256184011	0.00258476788	0.000630533768	0	24.3	0	0	3
46	17	0	1.15	0.256444229	0.253544339	0.250895188	0.256444229	0.0028584221	0.000630533768	0	22	0	0	3
47	18	0	1.175	0.256700253	0.253820771	0.251122483	0.256700253	0.00313485378	0.000630533768	0	20.1	0	0	3
48	18	0	1.2	0.256950699	0.254098305	0.251341018	0.256950699	0.00341238786	0.000630533768	0	18.4	0	0	3
49	18	0	1.225	0.257193989	0.254377018	0.251535915	0.257193989	0.00369110076	0.000630533768	0	17	0	0	3
50	18	0	1.25	0.257433551	0.254657858	0.251708441	0.257433551	0.0039679949	0.000630533768	0	15.8	0	0	3
51	19	0	1.275	0.25766631	0.254941566	0.251874748	0.25766631	0.00421727858	0.000630533768	0	14.9	0	0	3
52	19	0	1.3	0.257895395	0.255228263	0.252106424	0.257895395	0.00443660587	0.000630533768	0	14.2	0	0	3
53	19	0	1.325	0.258116507	0.255514457	0.252472924	0.258116507	0.00461647468	0.000630533768	0	13.6	0	0	3
54	19	0	1.35	0.258336125	0.255793657	0.252826625	0.258336125	0.00476306271	0.000630533768	0	13.2	0	0	3
55	20	0	1.375	0.258550282	0.256066213	0.253177921	0.258550282	0.00488710954	0.000630533768	0	12.9	0	0	3
56	20	0	1.4	0.258759024	0.256331979	0.253507847	0.258759024	0.00498755273	0.000630533768	0	12.6	0	0	3
57	20	0	1.425	0.258963392	0.256591767	0.25384113	0.258963392	0.00506709987	0.000630533768	0	12.4	0	0	3
58	20	0	1.45	0.259157833	0.256844944	0.254153284	0.259157833	0.00500454859	0.000630533768	0	12.5	0	0	3
59	21	0	1.475	0.259357129	0.257092746	0.254472114	0.259357129	0.00488501501	0.000630533768	0	12.9	0	0	3
60	21	0	1.5	0.259553644	0.257334723	0.254777136	0.259553644	0.00477650829	0.000630533768	0	13.2	0	0	3
61	21	0	1.525	0.259742379	0.257571164	0.255068474	0.259742379	0.00467390496	0.000630533768	0	13.4	0	0	3
62	21	0	1.55	0.259922672	0.257802316	0.255361443	0.259922672	0.00456122939	0.000630533768	0	13.8	0	0	3
63	22	0	1.575	0.260107905	0.258028338	0.25564316	0.260107905	0.00446474535	0.000630533768	0	14.1	0	0	3
64	22	0	1.6	0.260291061	0.258249666	0.255916605	0.260291061	0.00437445546	0.000630533768	0	14.4	0	0	3
65	22	0	1.625	0.260459312	0.258465986	0.256184011	0.260459312	0.0042753006	0.000630533768	0	14.7	0	0	3
66	22	0	1.65	0.260637376	0.258678051	0.256444229	0.260637376	0.00419314723	0.000630533768	0	15	0	0	3
67	22	0	1.675	0.260807148	0.258885809	0.256700253	0.260807148	0.00410689486	0.000630533768	0	15.3	0	0	3
68	23	0	1.7	0.260967511	0.259089012	0.256950699	0.260967511	0.00401681294	0.000630533768	0	15.6	0	0	3
69	23	0	1.725	0.261133817	0.259288208	0.257193989	0.261133817	0.00393982761	0.000630533768	0	16	0	0	3
70	23	0	1.75	0.261293068	0.259483402	0.257433551	0.261293068	0.0038595166	0.000630533768	0	16.3	0	0	3
71	23	0	1.775	0.261454054	0.259674854	0.25766631	0.261454054	0.00378774469	0.000630533768	0	16.6	0	0	3
72	23	0	1.8	0.26160724	0.259862518	0.257895395	0.26160724	0.00371184553	0.000630533768	0	16.9	0	0	3
73	24	0	1.825	0.261763981	0.260046736	0.258116507	0.261763981	0.00364747497	0.000630533768	0	17.2	0	0	3
74	24	0	1.85	0.261912158	0.260227482	0.258336125	0.261912158	0.0035760325	0.000630533768	0	17.6	0	0	3
75	24	0	1.875	0.262063693	0.260404985	0.258550282	0.262063693	0.00351341096	0.000630533768	0	17.9	0	0	3
76	24	0	1.9	0.26220723	0.260579125	0.258759024	0.26220723	0.00344820616	0.000630533768	0	18.2	0	0	3
77	24	0	1.925	0.26235052	0.260750149	0.258963392	0.26235052	0.00338712796	0.000630533768	0	18.6	0	0	3
78	24	0	1.95	0.262491614	0.260918159	0.259157833	0.262491614	0.0033337808	0.000630533768	0	18.9	0	0	3
79	25	0	1.975	0.262638136	0.261083888	0.259357129	0.262638136	0.00328100636	0.000630533768	0	19.2	0	0	3
80	25	0	2	0.262769544	0.261246384	0.259553644	0.262769544	0.00321589937	0.000630533768	0	19.6	0	0	3
81	25	0	2.025	0.262912103	0.261406311	0.259742379	0.262912103	0.00316972331	0.000630533768	0	19.8	0	0	3
82	25	0	2.05	0.263045479	0.261563601	0.259922672	0.263045479	0.00312280648	0.000630533768	0	20.1	0	0	3
83	25	0	2.075	0.263178389	0.261718635	0.260107905	0.263178389	0.00307048417	0.000630533768	0	20.5	0	0	3
84	26	0	2.1	0.263308713	0.261871055	0.260291061	0.263308713	0.00301765245	0.000630533768	0	20.8	0	0	3
85	26	0	2.125	0.263441389	0.26202107	0.260459312	0.263441389	0.00298207685	0.000630533768	0	21.1	0	0	3
86	26	0	2.15	0.263568076	0.262169107	0.260637376	0.263568076	0.00293070014	0.000630533768	0	21.5	0	0	3
87	26	0	2.175	0.263695948	0.262314753	0.260807148	0.263695948	0.00288879999	0.000630533768	0	21.8	0	0	3
88	27	0	2.2	0.263821604	0.262458298	0.260967511	0.263821604	0.0028540927	0.000630533768	0	22	0	0	3
89	27	0	2.225	0.263947647	0.26260021	0.261133817	0.263947647	0.00281383024	0.000630533768	0	22.4	0	0	3
90	27	0	2.25	0.264065466	0.262739812	0.261293068	0.264065466	0.0027723987	0.000630533768	0	22.7	0	0	3
91	27	0	2.275	0.26419196	0.262877854	0.261454054	0.26419196	0.0027379059	0.000630533768	0	23	0	0	3
92	27	0	2.3	0.264306037	0.263013663	0.26160724	0.264306037	0.00269879631	0.000630533768	0	23.3	0	0	3
93	28	0	2.325	0.264425771	0.263147879	0.261763981	0.264425771	0.00266178974	0.000630533768	0	23.6	0	0	3
94	28	0	2.35	0.264544067	0.263280264	0.261912158	0.264544067	0.00263190905	0.000630533768	0	23.9	0	0	3
95	28	0	2.375	0.264657967	0.263411017	0.262063693	0.264657967	0.00259427396	0.000630533768	0	24.3	0	0	3
96	28	0	2.4	0.26476856	0.26353982	0.26220723	0.26476856	0.00256133048	0.000630533768	0	24.6	0	0	3
97	28	0	2.425	0.264884387	0.263667304	0.26235052	0.264884387	0.00253386649	0.000630533768	0	24.8	0	0	3
98	29	0	2.45	0.264993867	0.263793177	0.262491614	0.264993867	0.00250225356	0.000630533768	0	25.1	0	0	3
99	29	0	2.475	0.265106071	0.263917675	0.262638136	0.265106071	0.00246793536	0.000630533768	0	25.5	0	0	3
100	29	0	2.5	0.265210999	0.264040193	0.262769544	0.265210999	0.00244145552	0.000630533768	0	25.8	0	0	3
101	30	0	2.525	0.26532094	0.264161688	0.262912103	0.26532094	0.00240883702	0.000630533768	0	26.1	0	0	3
102	30	0	2.55	0.2654228	0.264281245	0.263045479	0.2654228	0.00237732143	0.000630533768	0	26.5	0	0	3
103	30	0	2.575	0.265527744	0.264399448	0.263178389	0.265527744	0.0023493554	0.000630533768	0	26.8	0	0	3
104	30	0	2.6	0.265634875	0.264516423	0.263308713	0.265634875	0.00232616165	0.000630533768	0	27.1	0	0	3
105	30	0	2.625	0.265734792	0.264631951	0.263441389	0.265734792	0.00229340349	0.000630533768	0	27.4	0	0	3
106	31	0	2.65	0.265836784	0.264746017	0.263568076	0.265836784	0.00226870768	0.000630533768	0	27.7	0	0	3
107	31	0	2.675	0.265933977	0.264858679	0.263695948	0.265933977	0.00223802946	0.000630533768	0	28.1	0	0	3
108	31	0	2.7	0.26602994	0.264969822	0.263821604	0.26602994	0.00220833543	0.000630533768	0	28.5	0	0	3
109	31	0	2.725	0.266130317	0.26507976	0.263947647	0.266130317	0.00218266989	0.000630533768	0	28.8	0	0	3
110	31	0	2.75	0.266225883	0.265188248	0.264065466	0.266225883	0.00216041669	0.000630533768	0	29.1	0	0	3
111	32	0	2.775	0.26632134	0.26529567	0.26419196	0.26632134	0.00212937963	0.000630533768	0	29.6	0	0	3
112	32	0	2.8	0.266416254	0.265401589	0.264306037	0.266416254	0.00211021723	0.000630533768	0	29.8	0	0	3
113	32	0	2.825	0.26650569	0.265506335	0.264425771	0.26650569	0.00207991909	0.000630533768	0	30.3	0	0	3
114	32	0	2.85	0.266598864	0.265609815	0.264544067	0.266598864	0.00205479674	0.000630533768	0	30.6	0	0	3
115	32	0	2.875	0.266689269	0.265711968	0.264657967	0.266689269	0.00203130221	0.000630533768	0	31	0	0	3
116	33	0	2.9	0.266779301	0.265812984	0.26476856	0.266779301	0.00201074034	0.000630533768	0	31.3	0	0	3
117	33	0	2.925	0.266869715	0.265913038	0.264884387	0.266869715	0.00198532812	0.000630533768	0	31.7	0	0	3
118	33	0	2.95	0.266955502	0.266011663	0.264993867	0.266955502	0.00196163463	0.000630533768	0	32.1	0	0	3
119	33	0	2.975	0.267045995	0.266109383	0.265106071	0.267045995	0.00193992378	0.000630533768	0	32.5	0	0	3
120	33	0	3	0.267131236	0.26620582	0.265210999	0.267131236	0.00192023627	0.000630533768	0	32.8	0	0	3
121	33	0	3.025	0.267216497	0.26630132	0.26532094	0.267216497	0.00189555745	0.000630533768	0	33.2	0	0	3
122	34	0	3.05	0.267301948	0.266395653	0.2654228	0.267301948	0.00187914846	0.000630533768	0	33.5	0	0	3
123	34	0	3.075	0.267384789	0.266489081	0.265527744	0.267384789	0.00185704479	0.000630533768	0	33.9	0	0	3
124	34	0	3.1	0.267467192	0.266581436	0.265634875	0.267467192	0.00183231695	0.000630533768	0	34.4	0	0	3
125	34	0	3.125	0.267550046	0.266672635	0.265734792	0.267550046	0.00181525337	0.000630533768	0	34.7	0	0	3
126	34	0	3.15	0.267633034	0.266763027	0.265836784	0.267633034	0.00179625056	0.000630533768	0	35.1	0	0	3
127	35	0	3.175	0.267711647	0.266852306	0.265933977	0.267711647	0.00177766978	0.000630533768	0	35.4	0	0	3
