Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.025	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.05	0	0	0	0	0	0	0	0	0	0	3
3	4	0	0.075	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.1	0	0	0	0	0	0	0	0	0	0	3
5	5	0	0.125	0	0	0	0	0	0	0	0	0	0	3
6	5	0	0.15	0	0	0	0	0	0	0	0	0	0	3
7	6	0	0.175	0	0	0	0	0	0	0	0	0	0	3
8	6	0	0.2	0	0	0	0	0	0	0	0	0	0	3
9	6	0	0.225	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.25	0	0	0	0	0	0	0	0	0	0	3
11	7	0	0.275	0	0	0	0	0	0	0	0	0	0	3
12	7	0	0.3	0	0	0	0	0	0	0	0	0	0	3
13	8	0	0.325	0	0	0	0	0	0	0	0	0	0	3
14	8	0	0.35	0	0	0	0	0	0	0	0	0	0	3
15	8	0	0.375	0	0	0	0	0	0	0	0	0	0	3
16	9	0	0.4	0	0	0	0	0	0	0	0	0	0	3
17	9	0	0.425	0	0	0	0	0	0	0	0	0	0	3
18	9	0	0.45	0	0	0	0	0	0	0	0	0	0	3
19	10	0	0.475	0	0	0	0	0	0	0	0	0	0	3
20	10	0	0.5	0	0	0	0	0	0	0	0	0	0	3
21	10	0	0.525	0	0	0	0	0	0	0	0	0	0	3
22	11	0	0.55	0	0	0	0	0	0	0	0	0	0	3
23	11	0	0.575	0	0	0	0	0	0	0	0	0	0	3
24	11	0	0.6	0	0	0	0	0	0	0	0	0	0	3
25	12	0	0.625	0	0	0	0	0	0	0	0	0	0	3
26	12	0	0.65	0	0	0	0	0	0	0	0	0	0	3
27	12	0	0.675	0	0	0	0	0	0	0	0	0	0	3
28	13	0	0.7	0	0	0	0	0	0	0	0	0	0	3
29	13	0	0.725	0	0	0	0	0	0	0	0	0	0	3
30	13	0	0.75	0	0	0	0	0	0	0	0	0	0	3
31	13	0	0.775	0	0	0	0	0	0	0	0	0	0	3
32	13	0	0.8	0	0	0	0	0	0	0	0	0	0	3
33	14	0	0.825	0	0	0	0	0	0	0	0	0	0	3
34	14	0	0.85	0	0	0	0	0	0	0	0	0	0	3
35	15	0	0.875	0	0	0	0	0	0	0	0	0	0	3
36	15	0	0.9	0	0	0	0	0	0	0	0	0	0	3
37	15	0	0.925	0	0	0	0	0	0	0	0	0	0	3
38	16	0	0.95	0	0	0	0	0	0	0	0	0	0	3
39	16	0	0.975	0	0	0	0	0	0	0	0	0	0	3
40	16	0	1	0	0	0	0	0	5e-06	0	0	0	0	3
41	16	0	1.025	0	0	0	0	0	5e-06	0	0	0	0	3
42	17	0	1.05	0	0	0	0	0	5e-06	0	0	0	0	3
43	17	0	1.075	0	0	0	0	0	5e-06	0	0	0	0	3
44	17	0	1.1	0	0	0	0	0	5e-06	0	0	0	0	3
45	17	0	1.125	0	0	0	0	0	5e-06	0	0	0	0	3
46	17	0	1.15	0	0	0	0	0	5e-06	0	0	0	0	3
47	18	0	1.175	0	0	0	0	0	5e-06	0	0	0	0	3
48	18	0	1.2	0	0	0	0	0	5e-06	0	0	0	0	3
49	18	0	1.225	0	0	0	0	0	5e-06	0	0	0	0	3
50	18	0	1.25	0	0	0	0	0	5e-06	0	0	0	0	3
51	19	0	1.275	0	0	0	0	0	5e-06	0	0	0	0	3
52	19	0	1.3	0	0	0	0	0	5e-06	0	0	0	0	3
53	19	0	1.325	0	0	0	0	0	5e-06	0	0	0	0	3
54	19	0	1.35	0	0	0	0	0	5e-06	0	0	0	0	3
55	20	0	1.375	0	0	0	0	0	5e-06	0	0	0	0	3
56	20	0	1.4	0	0	0	0	0	5e-06	0	0	0	0	3
57	20	0	1.425	0	0	0	0	0	5e-06	0	0	0	0	3
58	20	0	1.45	0	0	0	0	0	5e-06	0	0	0	0	3
59	21	0	1.475	0	0	0	0	0	5e-06	0	0	0	0	3
60	21	0	1.5	0	0	0	0	0	5e-06	0	0	0	0	3
61	21	0	1.525	0	0	0	0	0	5e-06	0	0	0	0	3
62	21	0	1.55	0	0	0	0	0	5e-06	0	0	0	0	3
63	22	0	1.575	0	0	0	0	0	5e-06	0	0	0	0	3
64	22	0	1.6	0	0	0	0	0	5e-06	0	0	0	0	3
65	22	0	1.625	0	0	0	0	0	5e-06	0	0	0	0	3
66	22	0	1.65	0	0	0	0	0	5e-06	0	0	0	0	3
67	22	0	1.675	0	0	0	0	0	5e-06	0	0	0	0	3
68	23	0	1.7	0	0	0	0	0	5e-06	0	0	0	0	3
69	23	0	1.725	0	0	0	0	0	5e-06	0	0	0	0	3
70	23	0	1.75	0	0	0	0	0	5e-06	0	0	0	0	3
71	23	0	1.775	0	0	0	0	0	5e-06	0	0	0	0	3
72	23	0	1.8	0	0	0	0	0	5e-06	0	0	0	0	3
73	24	0	1.825	0	0	0	0	0	5e-06	0	0	0	0	3
