Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	16302.7272	16302.7272	16302.7272	16302.7272	0	0	0	0	0	0	3
2	2	0	0.05	16077.6194	16190.1733	16077.6194	16302.7272	112.553905	0	0	0	0	0	3
3	2	0	0.075	16069.9774	16150.108	16069.9774	16302.7272	152.619209	0	0	0	0	0	3
4	2	0	0.1	16069.3588	16129.9207	16069.3588	16302.7272	172.806492	0	0	0	0	0	3
5	3	0	0.125	16068.8854	16117.7136	16068.8854	16302.7272	185.013559	0	0	0	0	0	3
6	3	0	0.15	16067.2579	16109.3043	16067.2579	16302.7272	193.422854	0	0	0	0	0	3
7	3	0	0.175	16065.9122	16103.1055	16065.9122	16302.7272	199.621725	0	0	0	0	0	3
8	3	0	0.2	16065.4893	16098.4034	16065.4893	16302.7272	204.323744	0	0	0	0	0	3
9	4	0	0.225	16065.5957	16094.7581	16065.4893	16302.7272	207.969044	0	0	0	0	0	3
10	4	0	0.25	16065.6888	16091.8512	16065.4893	16302.7272	210.875977	0	0	0	0	0	3
11	4	0	0.275	16064.9804	16089.4084	16064.9804	16302.7272	213.318777	0	0	0	0	0	3
12	4	0	0.3	16065.1645	16087.3881	16064.9804	16302.7272	215.339103	0	0	0	0	0	3
13	4	0	0.325	16064.2727	16085.61	16064.2727	16302.7272	217.117205	0	0	0	0	0	3
14	5	0	0.35	16064.0911	16084.0729	16064.0911	16302.7272	218.65427	0	0	0	0	0	3
15	5	0	0.375	16062.8174	16082.6559	16062.8174	16302.7272	220.071303	0	0	0	0	0	3
16	5	0	0.4	16062.3534	16081.387	16062.3534	16302.7272	221.34021	0	0	0	0	0	3
17	5	0	0.425	16061.8688	16080.2388	16061.8688	16302.7272	222.488335	0	0	0	0	0	3
18	6	0	0.45	16061.5208	16079.199	16061.5208	16302.7272	223.528225	0	0	0	0	0	3
19	6	0	0.475	16061.7777	16078.282	16061.5208	16302.7272	224.445133	0	0	0	0	0	3
20	6	0	0.5	16062.2161	16077.4787	16061.5208	16302.7272	225.248431	0	0	0	0	0	3
21	6	0	0.525	16062.2772	16065.4562	16061.5208	16077.6194	16.0985457	0	0	0	0	0	3
22	7	0	0.55	16061.1431	16064.6324	16061.1431	16069.9774	8.83425608	0	0	0	0	0	3
23	7	0	0.575	16060.8551	16064.1763	16060.8551	16069.3588	8.50373134	0	0	0	0	0	3
24	7	0	0.6	16061.1185	16063.7643	16060.8551	16068.8854	8.03024748	0	0	0	0	0	3
25	7	0	0.625	16060.8904	16063.3646	16060.8551	16067.2579	6.4027418	0	0	0	0	0	3
26	7	0	0.65	16061.2743	16063.0654	16060.8551	16065.9122	5.05712091	0	0	0	0	0	3
27	8	0	0.675	16061.1476	16062.8271	16060.8551	16065.6888	4.83370176	0	0	0	0	0	3
