Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	0.390332911	0.390332911	0.390332911	0.390332911	0	0	0	0	0	0	3
2	2	0	0.05	0.37936362	0.384848265	0.37936362	0.390332911	0.00548464511	0	0	0	0	0	3
3	2	0	0.075	0.371967159	0.380554563	0.371967159	0.390332911	0.00977834737	0	0	0	0	0	3
4	2	0	0.1	0.368158587	0.377455569	0.368158587	0.390332911	0.0128773413	0	0	0	0	0	3
5	3	0	0.125	0.36493837	0.374952129	0.36493837	0.390332911	0.0153807812	0	0	0	0	0	3
6	3	0	0.15	0.362606687	0.372894556	0.362606687	0.390332911	0.0174383548	0	0	0	0	0	3
7	3	0	0.175	0.361137085	0.371214917	0.361137085	0.390332911	0.0191179934	0	0	0	0	0	3
8	3	0	0.2	0.360277311	0.369847716	0.360277311	0.390332911	0.0204851942	0	0	0	0	0	3
9	4	0	0.225	0.359512526	0.368699362	0.359512526	0.390332911	0.0216335487	0	0	0	0	0	3
10	4	0	0.25	0.358876844	0.36771711	0.358876844	0.390332911	0.0226158004	0	0	0	0	0	3
11	4	0	0.275	0.358254744	0.366856895	0.358254744	0.390332911	0.0234760155	0	0	0	0	0	3
12	4	0	0.3	0.357663373	0.366090768	0.357663373	0.390332911	0.0242421423	0	0	0	0	0	3
13	4	0	0.325	0.357078854	0.365397544	0.357078854	0.390332911	0.0249353665	0	0	0	0	0	3
14	5	0	0.35	0.356492913	0.364761499	0.356492913	0.390332911	0.0255714116	0	0	0	0	0	3
15	5	0	0.375	0.355920213	0.36417208	0.355920213	0.390332911	0.0261608307	0	0	0	0	0	3
16	5	0	0.4	0.355372732	0.363622121	0.355372732	0.390332911	0.0267107899	0	0	0	0	0	3
17	5	0	0.425	0.354876204	0.363107655	0.354876204	0.390332911	0.0272252556	0	0	0	0	0	3
18	6	0	0.45	0.355043523	0.362659648	0.354876204	0.390332911	0.0276732629	0	0	0	0	0	3
19	6	0	0.475	0.354825311	0.362247314	0.354825311	0.390332911	0.0280855964	0	0	0	0	0	3
20	6	0	0.5	0.354550298	0.361862463	0.354550298	0.390332911	0.0284704472	0	0	0	0	0	3
21	6	0	0.525	0.354555195	0.360073578	0.354550298	0.37936362	0.0247746879	0	0	0	0	0	3
22	7	0	0.55	0.354358392	0.358823316	0.354358392	0.371967159	0.0176087667	0	0	0	0	0	3
23	7	0	0.575	0.354361997	0.357943058	0.354358392	0.368158587	0.0138001954	0	0	0	0	0	3
24	7	0	0.6	0.354349551	0.357252606	0.354349551	0.36493837	0.0105888191	0	0	0	0	0	3
25	7	0	0.625	0.354415187	0.356726447	0.354349551	0.362606687	0.00825713673	0	0	0	0	0	3
