Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	2.92337525e-08	2.92337525e-08	2.92337525e-08	2.92337525e-08	0	0	0	0	0	0	3
2	2	0	0.05	-3.16956038e-09	1.3032096e-08	-3.16956038e-09	2.92337525e-08	1.62016564e-08	0	0	0	0	0	3
3	2	0	0.075	-3.01131064e-09	7.68429382e-09	-3.16956038e-09	2.92337525e-08	2.15494587e-08	0	0	0	0	0	3
4	2	0	0.1	5.02201866e-09	7.01872503e-09	-3.16956038e-09	2.92337525e-08	2.22150275e-08	0	0	0	0	0	3
5	3	0	0.125	3.85491838e-09	6.3859637e-09	-3.16956038e-09	2.92337525e-08	2.28477888e-08	0	0	0	0	0	3
6	3	0	0.15	2.11150633e-10	5.35682819e-09	-3.16956038e-09	2.92337525e-08	2.38769243e-08	0	0	0	0	0	3
7	3	0	0.175	6.09630326e-10	4.67865706e-09	-3.16956038e-09	2.92337525e-08	2.45550954e-08	0	0	0	0	0	3
8	3	0	0.2	-4.40826048e-11	4.08831461e-09	-3.16956038e-09	2.92337525e-08	2.51454379e-08	0	0	0	0	0	3
9	4	0	0.225	-4.11271745e-10	3.58836057e-09	-3.16956038e-09	2.92337525e-08	2.56453919e-08	0	0	0	0	0	3
10	4	0	0.25	3.20111154e-10	3.26153563e-09	-3.16956038e-09	2.92337525e-08	2.59722169e-08	0	0	0	0	0	3
11	4	0	0.275	1.26876462e-10	2.97656661e-09	-3.16956038e-09	2.92337525e-08	2.62571859e-08	0	0	0	0	0	3
12	4	0	0.3	-4.92782057e-10	2.68745422e-09	-3.16956038e-09	2.92337525e-08	2.65462983e-08	0	0	0	0	0	3
13	4	0	0.325	9.83211312e-10	2.55635861e-09	-3.16956038e-09	2.92337525e-08	2.66773939e-08	0	0	0	0	0	3
14	5	0	0.35	1.72072378e-10	2.38605245e-09	-3.16956038e-09	2.92337525e-08	2.68477e-08	0	0	0	0	0	3
15	5	0	0.375	3.33850538e-10	2.24923899e-09	-3.16956038e-09	2.92337525e-08	2.69845135e-08	0	0	0	0	0	3
16	5	0	0.4	3.14311404e-10	2.12830602e-09	-3.16956038e-09	2.92337525e-08	2.71054465e-08	0	0	0	0	0	3
17	5	0	0.425	9.83226439e-10	2.0609484e-09	-3.16956038e-09	2.92337525e-08	2.71728041e-08	0	0	0	0	0	3
18	6	0	0.45	6.15918838e-10	1.98066898e-09	-3.16956038e-09	2.92337525e-08	2.72530835e-08	0	0	0	0	0	3
