Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.025	309.749927	309.749927	309.749927	309.749927	0	0	0	0	0	0	3
2	2	0	0.05	309.749981	309.749954	309.749927	309.749981	2.68235765e-05	0	0	0	0	0	3
3	2	0	0.075	309.749983	309.749964	309.749927	309.749983	3.63652395e-05	0	0	0	0	0	3
4	2	0	0.1	309.749983	309.749969	309.749927	309.749983	4.11670457e-05	0	0	0	0	0	3
5	3	0	0.125	309.749983	309.749972	309.749927	309.749983	4.4065668e-05	0	0	0	0	0	3
6	3	0	0.15	309.749984	309.749974	309.749927	309.749984	4.60634477e-05	0	0	0	0	0	3
7	3	0	0.175	309.749984	309.749975	309.749927	309.749984	4.7541524e-05	0	0	0	0	0	3
8	3	0	0.2	309.749984	309.749976	309.749927	309.749984	4.86720564e-05	0	0	0	0	0	3
9	4	0	0.225	309.749984	309.749977	309.749927	309.749984	4.95611165e-05	0	0	0	0	0	3
10	4	0	0.25	309.749984	309.749978	309.749927	309.749984	5.02861888e-05	0	0	0	0	0	3
11	4	0	0.275	309.749985	309.749978	309.749927	309.749985	5.09321443e-05	0	0	0	0	0	3
12	4	0	0.3	309.749985	309.749979	309.749927	309.749985	5.15154264e-05	0	0	0	0	0	3
13	4	0	0.325	309.749986	309.74998	309.749927	309.749986	5.20841835e-05	0	0	0	0	0	3
14	5	0	0.35	309.749987	309.74998	309.749927	309.749987	5.26428344e-05	0	0	0	0	0	3
15	5	0	0.375	309.749989	309.749981	309.749927	309.749989	5.32229835e-05	0	0	0	0	0	3
16	5	0	0.4	309.749991	309.749981	309.749927	309.749991	5.38685437e-05	0	0	0	0	0	3
17	5	0	0.425	309.749994	309.749982	309.749927	309.749994	5.45858118e-05	0	0	0	0	0	3
18	6	0	0.45	309.749996	309.749983	309.749927	309.749996	5.53758828e-05	0	0	0	0	0	3
19	6	0	0.475	309.749999	309.749984	309.749927	309.749999	5.62321222e-05	0	0	0	0	0	3
20	6	0	0.5	309.750002	309.749985	309.749927	309.750002	5.71518083e-05	0	0	0	0	0	3
21	6	0	0.525	309.750007	309.749989	309.749981	309.750007	2.5931438e-05	0	0	0	0	0	3
22	7	0	0.55	309.750013	309.74999	309.749983	309.750013	2.63370409e-05	0	0	0	0	0	3
23	7	0	0.575	309.750018	309.749992	309.749983	309.750018	2.32927431e-05	0	0	0	0	0	3
24	7	0	0.6	309.750024	309.749994	309.749983	309.750024	2.2424311e-05	0	0	0	0	0	3
25	7	0	0.625	309.750029	309.749996	309.749984	309.750029	2.27448151e-05	0	0	0	0	0	3
26	7	0	0.65	309.750038	309.749999	309.749984	309.750038	2.40065839e-05	0	0	0	0	0	3
27	8	0	0.675	309.750047	309.750002	309.749984	309.750047	2.60522086e-05	0	0	0	0	0	3
28	8	0	0.7	309.750056	309.750006	309.749984	309.750056	2.87847719e-05	0	0	0	0	0	3
29	8	0	0.725	309.750066	309.75001	309.749984	309.750066	3.21310908e-05	0	0	0	0	0	3
30	8	0	0.75	309.750074	309.750014	309.749985	309.750074	3.59732627e-05	0	0	0	0	0	3
31	9	0	0.775	309.750087	309.750019	309.749985	309.750087	4.0516782e-05	0	0	0	0	0	3
32	9	0	0.8	309.750099	309.750025	309.749986	309.750099	4.5645808e-05	0	0	0	0	0	3
33	9	0	0.825	309.750111	309.750031	309.749987	309.750111	5.13263121e-05	0	0	0	0	0	3
34	9	0	0.85	309.750122	309.750038	309.749989	309.750122	5.74801074e-05	0	0	0	0	0	3
35	10	0	0.875	309.750133	309.750045	309.749991	309.750133	6.40271264e-05	0	0	0	0	0	3
36	10	0	0.9	309.750147	309.750053	309.749994	309.750147	7.10988824e-05	0	0	0	0	0	3
37	10	0	0.925	309.75016	309.750061	309.749996	309.75016	7.86205488e-05	0	0	0	0	0	3
38	10	0	0.95	309.750172	309.75007	309.749999	309.750172	8.65600335e-05	0	0	0	0	0	3
39	10	0	0.975	309.750183	309.750079	309.750002	309.750183	9.48477758e-05	0	0	0	0	0	3
40	11	0	1	309.750193	309.750089	309.750007	309.750193	0.000100427875	1.31793407e-05	0	0	0	0	3
41	11	0	1.025	309.750207	309.750099	309.750013	309.750207	0.000108856585	1.40425108e-05	0	0	0	0	3
42	11	0	1.05	309.750219	309.750109	309.750018	309.750219	0.000117419389	1.44153094e-05	0	0	0	0	3
43	11	0	1.075	309.75023	309.75012	309.750024	309.75023	0.000125966375	1.47595698e-05	0	0	0	0	3
44	12	0	1.1	309.75024	309.750126	309.750024	309.75024	0.000131681151	1.50920372e-05	0	0	0	0	3
45	12	0	1.125	309.750249	309.750136	309.750029	309.750249	0.000140102843	1.54024988e-05	0	0	0	0	3
46	12	0	1.15	309.750261	309.750147	309.750038	309.750261	0.000148387055	1.5732848e-05	0	0	0	0	3
47	12	0	1.175	309.750271	309.750158	309.750047	309.750271	0.000156310337	1.60587515e-05	0	0	0	0	3
48	12	0	1.2	309.750281	309.75017	309.750056	309.750281	0.000163833962	1.63804765e-05	0	0	0	0	3
49	12	0	1.225	309.75029	309.750181	309.750066	309.75029	0.000170874182	1.66884231e-05	0	0	0	0	3
50	12	0	1.25	309.750298	309.750192	309.750074	309.750298	0.000177442833	1.69836077e-05	0	0	0	0	3
51	13	0	1.275	309.750308	309.750203	309.750087	309.750308	0.000183444367	1.72786376e-05	0	0	0	0	3
52	13	0	1.3	309.750316	309.750214	309.750099	309.750316	0.000188652735	1.75670345e-05	0	0	0	0	3
53	13	0	1.325	309.750325	309.750225	309.750111	309.750325	0.000193138517	1.78456478e-05	0	0	0	0	3
54	13	0	1.35	309.750331	309.750235	309.750122	309.750331	0.000196874248	1.81088427e-05	0	0	0	0	3
55	13	0	1.375	309.750338	309.750245	309.750133	309.750338	0.000199943685	1.83582098e-05	0	0	0	0	3
56	14	0	1.4	309.750345	309.750255	309.750147	309.750345	0.000198390446	1.85976665e-05	0	0	0	0	3
57	14	0	1.425	309.750353	309.750265	309.75016	309.750353	0.000192982492	1.88275495e-05	0	0	0	0	3
58	14	0	1.45	309.750358	309.750275	309.750172	309.750358	0.000186134328	1.90417458e-05	0	0	0	0	3
59	14	0	1.475	309.750364	309.750284	309.750183	309.750364	0.000180572915	1.92422081e-05	0	0	0	0	3
60	14	0	1.5	309.750368	309.750293	309.750193	309.750368	0.000175081872	1.94274515e-05	0	0	0	0	3
61	14	0	1.525	309.750373	309.750301	309.750207	309.750373	0.000165875026	1.95939118e-05	0	0	0	0	3
62	14	0	1.55	309.750377	309.750309	309.750219	309.750377	0.000158361364	1.97420713e-05	0	0	0	0	3
63	15	0	1.575	309.750381	309.750317	309.75023	309.750381	0.000151227382	1.98719083e-05	0	0	0	0	3
64	15	0	1.6	309.750384	309.750324	309.75024	309.750384	0.000144266301	1.99851453e-05	0	0	0	0	3
65	15	0	1.625	309.750387	309.750331	309.750249	309.750387	0.000137821674	2.00816922e-05	0	0	0	0	3
66	15	0	1.65	309.75039	309.750338	309.750261	309.75039	0.000128677783	2.01559879e-05	0	0	0	0	3
67	15	0	1.675	309.750392	309.750344	309.750271	309.750392	0.000120591936	2.02090863e-05	0	0	0	0	3
68	15	0	1.7	309.750394	309.75035	309.750281	309.750394	0.000112912436	2.02433584e-05	0	0	0	0	3
69	15	0	1.725	309.750396	309.750356	309.75029	309.750396	0.000106209046	2.02592629e-05	0	0	0	0	3
70	16	0	1.75	309.750398	309.750361	309.750298	309.750398	0.00010020245	2.02604324e-05	0	0	0	0	3
71	16	0	1.775	309.750399	309.750366	309.750308	309.750399	9.16887893e-05	2.02374938e-05	0	0	0	0	3
72	16	0	1.8	309.750401	309.75037	309.750316	309.750401	8.44912867e-05	2.01954908e-05	0	0	0	0	3
73	16	0	1.825	309.750402	309.750374	309.750325	309.750402	7.77692226e-05	2.01363394e-05	0	0	0	0	3
74	16	0	1.85	309.750403	309.750378	309.750331	309.750403	7.24686353e-05	2.00627053e-05	0	0	0	0	3
75	16	0	1.875	309.750405	309.750381	309.750338	309.750405	6.71791152e-05	1.99765042e-05	0	0	0	0	3
76	17	0	1.9	309.750406	309.750385	309.750345	309.750406	6.08901013e-05	1.98728359e-05	0	0	0	0	3
77	17	0	1.925	309.750407	309.750388	309.750353	309.750407	5.40507179e-05	1.97540328e-05	0	0	0	0	3
78	17	0	1.95	309.750408	309.75039	309.750358	309.750408	4.93953308e-05	1.96225163e-05	0	0	0	0	3
79	17	0	1.975	309.750409	309.750393	309.750364	309.750409	4.4884798e-05	1.9481564e-05	0	0	0	0	3
80	17	0	2	309.75041	309.750395	309.750368	309.75041	4.11930465e-05	1.93332763e-05	0	0	0	0	3
81	17	0	2.025	309.75041	309.750397	309.750373	309.75041	3.7121085e-05	1.91719308e-05	0	0	0	0	3
82	18	0	2.05	309.750412	309.750399	309.750377	309.750412	3.41958706e-05	1.90026967e-05	0	0	0	0	3
83	18	0	2.075	309.750412	309.7504	309.750381	309.750412	3.07577295e-05	1.882593e-05	0	0	0	0	3
84	18	0	2.1	309.750413	309.750402	309.750384	309.750413	2.84008465e-05	1.86439303e-05	0	0	0	0	3
85	18	0	2.125	309.750413	309.750403	309.750387	309.750413	2.57044804e-05	1.84572928e-05	0	0	0	0	3
86	18	0	2.15	309.750414	309.750404	309.75039	309.750414	2.39973238e-05	1.82639908e-05	0	0	0	0	3
87	18	0	2.175	309.750414	309.750406	309.750392	309.750414	2.21620547e-05	1.80656893e-05	0	0	0	0	3
88	18	0	2.2	309.750415	309.750407	309.750394	309.750415	2.04681783e-05	1.78634158e-05	0	0	0	0	3
89	19	0	2.225	309.750415	309.750408	309.750396	309.750415	1.87928138e-05	1.76586852e-05	0	0	0	0	3
90	19	0	2.25	309.750415	309.750409	309.750398	309.750415	1.75114188e-05	1.74530117e-05	0	0	0	0	3
91	19	0	2.275	309.750416	309.750409	309.750399	309.750416	1.63391965e-05	1.7243505e-05	0	0	0	0	3
92	19	0	2.3	309.750417	309.75041	309.750401	309.750417	1.57588481e-05	1.70326851e-05	0	0	0	0	3
93	19	0	2.325	309.750417	309.750411	309.750402	309.750417	1.43897379e-05	1.6820256e-05	0	0	0	0	3
94	19	0	2.35	309.750417	309.750412	309.750403	309.750417	1.39505927e-05	1.66090353e-05	0	0	0	0	3
95	19	0	2.375	309.750418	309.750412	309.750405	309.750418	1.29189865e-05	1.63982948e-05	0	0	0	0	3
96	20	0	2.4	309.750418	309.750413	309.750406	309.750418	1.19903619e-05	1.61870057e-05	0	0	0	0	3
97	20	0	2.425	309.750418	309.750414	309.750407	309.750418	1.14425563e-05	1.59750106e-05	0	0	0	0	3
98	20	0	2.45	309.750419	309.750414	309.750408	309.750419	1.08259399e-05	1.57646308e-05	0	0	0	0	3
99	20	0	2.475	309.750419	309.750415	309.750409	309.750419	1.01295763e-05	1.55558534e-05	0	0	0	0	3
100	20	0	2.5	309.750419	309.750415	309.75041	309.750419	9.91580021e-06	1.5349957e-05	0	0	0	0	3
101	21	0	2.525	309.750419	309.750416	309.75041	309.750419	9.41739256e-06	1.51461172e-05	0	0	0	0	3
102	21	0	2.55	309.75042	309.750416	309.750412	309.75042	8.57824347e-06	1.49450489e-05	0	0	0	0	3
103	21	0	2.575	309.75042	309.750416	309.750412	309.75042	8.49236426e-06	1.47468592e-05	0	0	0	0	3
104	21	0	2.6	309.75042	309.750417	309.750413	309.75042	7.69608232e-06	1.45517762e-05	0	0	0	0	3
105	21	0	2.625	309.750421	309.750417	309.750413	309.750421	7.88711668e-06	1.43602809e-05	0	0	0	0	3
106	21	0	2.65	309.750421	309.750418	309.750414	309.750421	7.02258433e-06	1.41721472e-05	0	0	0	0	3
107	21	0	2.675	309.750422	309.750418	309.750414	309.750422	7.4435481e-06	1.39883069e-05	0	0	0	0	3
108	22	0	2.7	309.750422	309.750418	309.750415	309.750422	6.8869868e-06	1.38077027e-05	0	0	0	0	3
109	22	0	2.725	309.750422	309.750419	309.750415	309.750422	7.18756121e-06	1.36310851e-05	0	0	0	0	3
110	22	0	2.75	309.750422	309.750419	309.750415	309.750422	6.43795914e-06	1.34577907e-05	0	0	0	0	3
111	22	0	2.775	309.750422	309.750419	309.750416	309.750422	6.32199198e-06	1.32882411e-05	0	0	0	0	3
112	22	0	2.8	309.750422	309.75042	309.750417	309.750422	5.56332344e-06	1.31793407e-05	0	0	0	0	3
113	22	0	2.825	309.750423	309.75042	309.750417	309.750423	6.31699515e-06	1.31793407e-05	0	0	0	0	3
114	22	0	2.85	309.750422	309.75042	309.750417	309.750423	5.61205701e-06	1.31793407e-05	0	0	0	0	3
115	23	0	2.875	309.750423	309.750421	309.750418	309.750423	5.76658147e-06	1.31793407e-05	0	0	0	0	3
116	23	0	2.9	309.750423	309.750421	309.750418	309.750423	5.34787466e-06	1.31793407e-05	0	0	0	0	3
117	23	0	2.925	309.750424	309.750421	309.750418	309.750424	5.45987683e-06	1.31793407e-05	0	0	0	0	3
118	23	0	2.95	309.750424	309.750421	309.750419	309.750424	5.15532105e-06	1.31793407e-05	0	0	0	0	3
119	23	0	2.975	309.750424	309.750422	309.750419	309.750424	5.19771777e-06	1.31793407e-05	0	0	0	0	3
120	23	0	3	309.750424	309.750422	309.750419	309.750424	4.77154526e-06	1.31793407e-05	0	0	0	0	3
121	24	0	3.025	309.750424	309.750422	309.750419	309.750424	5.03783377e-06	1.31793407e-05	0	0	0	0	3
122	24	0	3.05	309.750423	309.750422	309.75042	309.750424	4.63479705e-06	1.31793407e-05	0	0	0	0	3
123	24	0	3.075	309.750425	309.750423	309.75042	309.750425	5.57953905e-06	1.31793407e-05	0	0	0	0	3
124	24	0	3.1	309.750425	309.750423	309.75042	309.750425	4.95917504e-06	1.31793407e-05	0	0	0	0	3
125	24	0	3.125	309.750425	309.750423	309.750421	309.750425	4.65998824e-06	1.31793407e-05	0	0	0	0	3
126	24	0	3.15	309.750426	309.750423	309.750421	309.750426	4.98224756e-06	1.31793407e-05	0	0	0	0	3
127	24	0	3.175	309.750426	309.750423	309.750422	309.750426	4.07595036e-06	1.31793407e-05	0	0	0	0	3
128	25	0	3.2	309.750425	309.750424	309.750422	309.750426	4.0659416e-06	1.31793407e-05	0	0	0	0	3
129	25	0	3.225	309.750426	309.750424	309.750422	309.750426	3.93218534e-06	1.31793407e-05	0	0	0	0	3
130	25	0	3.25	309.750426	309.750424	309.750422	309.750426	4.30681553e-06	1.31793407e-05	0	0	0	0	3
131	25	0	3.275	309.750426	309.750424	309.750422	309.750426	4.06281185e-06	1.31793407e-05	0	0	0	0	3
132	25	0	3.3	309.750426	309.750424	309.750422	309.750426	4.28909402e-06	1.31793407e-05	0	0	0	0	3
133	25	0	3.325	309.750426	309.750425	309.750422	309.750426	4.29553978e-06	1.31793407e-05	0	0	0	0	3
134	25	0	3.35	309.750426	309.750425	309.750422	309.750426	4.29553978e-06	1.31793407e-05	0	0	0	0	3
135	26	0	3.375	309.750427	309.750425	309.750423	309.750427	3.44092814e-06	1.31793407e-05	0	0	0	0	3
136	26	0	3.4	309.750427	309.750425	309.750423	309.750427	3.72507253e-06	1.31793407e-05	0	0	0	0	3
137	26	0	3.425	309.750426	309.750425	309.750423	309.750427	3.57056604e-06	1.31793407e-05	0	0	0	0	3
138	26	0	3.45	309.750427	309.750425	309.750423	309.750427	3.57056604e-06	1.31793407e-05	0	0	0	0	3
139	26	0	3.475	309.750427	309.750426	309.750423	309.750427	3.94242232e-06	1.31793407e-05	0	0	0	0	3
140	26	0	3.5	309.750427	309.750426	309.750423	309.750427	3.94242232e-06	1.31793407e-05	0	0	0	0	3
